一级分类,品名,平均价,单位,产地,发布日期,规格
肉禽蛋,羊尾巴油,7.5,斤,,2025-04-07 00:00:00,
肉禽蛋,羊小腿,18.0,斤,,2025-04-07 00:00:00,羊棒
肉禽蛋,羊腱子肉,31.5,斤,,2025-04-07 00:00:00,
肉禽蛋,羊蹄,14.5,斤,,2025-04-07 00:00:00,水褪
肉禽蛋,羊头,12.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊肝,7.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊心,17.5,斤,,2025-04-07 00:00:00,
肉禽蛋,羊肠,14.5,斤,,2025-04-07 00:00:00,
肉禽蛋,羊肚,17.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊鞭,84.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊宝,35.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊骨头,8.5,斤,,2025-04-07 00:00:00,
肉禽蛋,羊上脑,31.5,斤,,2025-04-07 00:00:00,
肉禽蛋,羊腩,21.0,斤,,2025-04-07 00:00:00,
肉禽蛋,羊里脊,29.0,斤,,2025-04-07 00:00:00,
肉禽蛋,淘汰鸡,10.75,斤,,2025-04-07 00:00:00,干净膛
肉禽蛋,淘汰鸡,9.75,斤,,2025-04-07 00:00:00,净膛
肉禽蛋,仔鸡,6.75,斤,,2025-04-07 00:00:00,净膛
肉禽蛋,肉鸡,6.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸡胸,6.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸽子蛋,2.75,个,,2025-04-07 00:00:00,
肉禽蛋,活珠子,1.4,个,,2025-04-07 00:00:00,
肉禽蛋,山鸡蛋,1.1,个,,2025-04-07 00:00:00,
水产,鲤鱼,7.0,斤,,2025-04-07 00:00:00,750g-1000g
水产,鲤鱼,7.25,斤,,2025-04-07 00:00:00,>1000g
水产,草鱼,8.25,斤,,2025-04-07 00:00:00,750g-1000g
水产,草鱼,8.5,斤,,2025-04-07 00:00:00,1500g左右
水产,草鱼,11.0,斤,,2025-04-07 00:00:00,5000g左右
水产,鲫鱼,10.75,斤,,2025-04-07 00:00:00,100g-150g
水产,鲫鱼,11.75,斤,,2025-04-07 00:00:00,200g-250g
水产,鲫鱼,13.5,斤,,2025-04-07 00:00:00,350g-400g
水产,胖头鱼,11.5,斤,,2025-04-07 00:00:00,>2000g
水产,胖头鱼,9.5,斤,,2025-04-07 00:00:00,<2000g
水产,武昌鱼,10.75,斤,,2025-04-07 00:00:00,700g左右
水产,鲢鱼,4.75,斤,,2025-04-07 00:00:00,>1500g
水产,鲢鱼,4.25,斤,,2025-04-07 00:00:00,1000-1500g
水产,鲶鱼,5.5,斤,,2025-04-07 00:00:00,养殖
水产,松花鱼,11.5,斤,,2025-04-07 00:00:00,养殖
水产,黑鱼,11.5,斤,,2025-04-07 00:00:00,<1500g
水产,黑鱼,12.5,斤,,2025-04-07 00:00:00,>1500g
肉禽蛋,鸭肝,2.25,斤,,2025-04-07 00:00:00,
肉禽蛋,鸭头,10.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸭心,4.75,斤,,2025-04-07 00:00:00,
肉禽蛋,鸭腿,5.75,斤,,2025-04-07 00:00:00,
肉禽蛋,鸭胗,12.5,斤,,2025-04-07 00:00:00,
肉禽蛋,鸭脖子,7.0,斤,,2025-04-07 00:00:00,去皮
肉禽蛋,白条乳鸽,20.0,只,,2025-04-07 00:00:00,
肉禽蛋,白条兔,13.0,斤,,2025-04-07 00:00:00,冻
肉禽蛋,筐鸡蛋,142.0,筐,,2025-04-07 00:00:00,净44斤
肉禽蛋,筐鸡蛋,3.23,斤,,2025-04-07 00:00:00,
肉禽蛋,散鸡蛋,3.7,斤,,2025-04-07 00:00:00,
肉禽蛋,生鸭蛋,6.65,斤,,2025-04-07 00:00:00,
肉禽蛋,熟鸭蛋,8.25,斤,,2025-04-07 00:00:00,
肉禽蛋,松花蛋,8.0,斤,,2025-04-07 00:00:00,
肉禽蛋,鹅蛋,15.25,斤,,2025-04-07 00:00:00,
肉禽蛋,鹌鹑蛋,6.0,斤,,2025-04-07 00:00:00,
肉禽蛋,柴鸡蛋,6.25,斤,,2025-04-07 00:00:00,
肉禽蛋,乌鸡蛋,8.0,斤,,2025-04-07 00:00:00,
肉禽蛋,变蛋,0.78,个,,2025-04-07 00:00:00,
肉禽蛋,鸵鸟蛋,85.0,个,,2025-04-07 00:00:00,
水产,黄鳝,33.0,斤,,2025-04-07 00:00:00,养殖
水产,黄鳝,38.5,斤,,2025-04-07 00:00:00,仿野生
水产,罗非鱼,10.75,斤,,2025-04-07 00:00:00,活
水产,虹鳟鱼,22.5,斤,,2025-04-07 00:00:00,活
水产,鲟鱼,19.5,斤,,2025-04-07 00:00:00,活
水产,青鱼,15.0,斤,,2025-04-07 00:00:00,活
水产,桂鱼,28.5,斤,,2025-04-07 00:00:00,标桂
水产,嘎鱼,23.0,斤,,2025-04-07 00:00:00,>100g
水产,嘎鱼,22.0,斤,,2025-04-07 00:00:00,<100g
水产,淡水鲈鱼,20.5,斤,,2025-04-07 00:00:00,活
水产,泥鳅,14.5,斤,,2025-04-07 00:00:00,活
水产,清江鱼,12.0,斤,,2025-04-07 00:00:00,活
水产,三文鱼肉,100.0,斤,,2025-04-07 00:00:00,冰鲜
水产,三文鱼肉,70.0,斤,,2025-04-07 00:00:00,冰冻
水产,燕鲅,20.5,斤,,2025-04-07 00:00:00,鲜
水产,鲐鲅,5.5,斤,,2025-04-07 00:00:00,<300g/冻
水产,小黄花鱼,8.0,斤,,2025-04-07 00:00:00,冻
水产,鲽鱼,29.0,斤,,2025-04-07 00:00:00,750g/冻
水产,红星斑,142.5,斤,,2025-04-07 00:00:00,活
水产,多宝鱼,30.0,斤,,2025-04-07 00:00:00,活
水产,金鲳鱼,22.5,斤,,2025-04-07 00:00:00,400g-500g
水产,金鲳鱼,23.0,斤,,2025-04-07 00:00:00,500g-650g
水产,白虾,24.75,斤,,2025-04-07 00:00:00,10-15头/冻
水产,白虾,22.25,斤,,2025-04-07 00:00:00,15-20头/冻
水产,白虾,21.5,斤,,2025-04-07 00:00:00,20-25头/冻
水产,白虾（笼装）,33.5,斤,,2025-04-07 00:00:00,21-24头/活
水产,白虾（笼装）,32.0,斤,,2025-04-07 00:00:00,26-30头/活
